"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the 'New Leads' data metric section is present in the table.","12","TC-REP-005: Validate 'New Leads' Metric Column & Section Presence","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify that 'Follow Up Hygiene (Assigned to First Follow Up)' is present in the table.","4","TC-REP-008: Validate 'Follow Up Hygiene (Assigned to First Follow Up)' Metric Section","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Click Deduct TDS switch and assert confirmation modal appears.","1721","TC-PAYMENT-010: Trigger 'Deduct TDS' Toggle & Verify 'Confirm TDS Deduction' Modal","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Navigate to Renewal Dashboard (/dashboard/renewal), apply 'This Month' and 'Desktop' filters, verify key KPI tables and metrics are rendered, and scan for any red error messages or anomalies.","9929","TC-RENEWAL-001: Verify Renewal Dashboard UI, Filters, Metrics & Error Absence","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Locate 'All (N)' tab on the Leads listing page, parse numeric count using regex.","354","TC-DASH-006: Extract Lead Count from 'All' Tab on Leads Listing Page","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Query PostgreSQL to verify that enquiry is processed and lead state is updated.","20","TC-ENQ-006: Verify Final Lead Record State in Database","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Extract numeric Total Lead count from the KPI metrics table and assert it is a valid integer.","2352","TC-DASH-004: Extract and Validate Total Lead Count from KPI Table","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Verifies that the Clear Email (X) button correctly clears the input and resets Continue button state:
1. Enter a valid email
2. Verify Continue button becomes enabled and Clear button is visible
3. Click the Clear button
4. Verify email input is cleared and Continue button is disabled again","2215","TC-AUTH-NEG-05: Verify Email Clear (X) Button Resets Field and Disables Continue","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCrmLoginFlow","test_crm_login","",""
"Click table column headers (Company Name / Expiry Date) to test sorting and ensure table re-renders cleanly.","1391","TC-RENEWAL-006: Verify Sortable Columns on Renewal Lead Listing Table","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Navigate across other tabs in the History dialog (Status History / Audit logs) and close cleanly.","1074","TC-RENEWAL-016: Navigate History Modal Tabs and Close Cleanly","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
