"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the 'New Leads' data metric section is present in the table.","11","TC-REP-005: Validate 'New Leads' Metric Column & Section Presence","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verifies user can cancel OTP entry and return to the Login screen:
1. Advance to OTP screen
2. Click 'Back to Login' button
3. Verify user is returned to the initial Login page with heading and email input visible","3298","TC-AUTH-NEG-06: Verify Back to Login Button from OTP Screen Returns to Email Entry","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCrmLoginFlow","test_crm_login","",""
"Assert Taxable Amount, GST (18%), and initial Grand Total before TDS deduction.","15019","TC-PAYMENT-009: Verify Initial Order Summary Pricing (Taxable: Rs. 11,000, GST: Rs. 1,980, Pre-TDS: Rs. 12,980)","tests.latest_tests","2026-09-05","failed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Assert prospect row in listing table with Customer, Product, Amount 11880.00, and Status Payment Pending.","20014","TC-PAYMENT-015: Verify Created Payment Record (Amount: 11880.00, Status: Payment Pending) in Listing Grid","tests.latest_tests","2026-09-05","failed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Search by Subscription ID in the listing search bar under 'All' tab and assert filtered record appears.","4461","TC-RENEWAL-014: Search Renewal Lead Listing by Copied Subscription ID","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"","661","TC-LEAD-004: Submit Create Lead Form and Verify 'Lead Details' Confirmation","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Check/poll DB for auto-transition to 'ready_to_convert'. If timeout occurs, automatically apply DB fallback.","10282","TC-ENQ-004: Ensure DB State is 'ready_to_convert' (Auto-poll with Fallback)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Complete flow: DB Cleanup -> Create Enquiry -> Sanitize -> Auto Poll / Fallback DB Update -> EnquiryToLead -> DB Verify.","14147","TC-ENQ-011: Complete End-to-End Enquiry-to-Lead Pipeline with Automated State Polling & Fallback","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Extract Subscription ID from the top row, open Follow Up Update modal, and verify details.","1719","TC-RENEWAL-007: Extract Top Row Subscription ID & Open Follow-Up Modal","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"","507","TC-LEAD-002: Open Create Lead Modal & Verify Input Fields Rendered","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Click '+' button on Basic - Single User plan to increment quantity to 1.","30418","TC-PAYMENT-008: Add Quantity 1 to 'Basic - Single User' Plan (Rs. 11,000)","tests.latest_tests","2026-09-05","broken","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Fill customer name and valid 10-digit mobile.","962","TC-SUPPORT-002: Fill Customer Name and Valid 10-Digit Mobile","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Single-session verification of the complete CRM login flow:
1. Verify initial Login page UI elements (Heading, Email Input, Disabled Continue Button, Google option)
2. Verify entering valid email enables Continue button
3. Click Continue and verify OTP verification screen is displayed
4. Submit valid OTP, verify Company Listing screen, and log out cleanly","10005","TC-AUTH-E2E: Complete CRM Email + OTP Login, Company Listing, and Logout Flow","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCrmLoginFlow","test_crm_login","",""
"Click 'Save and Continue' on empty prospect form and verify submission is blocked.","1067","TC-PAYMENT-NEG-01: Verify Blank Form Submission Is Blocked","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Verify that authenticated user lands on /dashboard without redirection to login.","9","TC-DASH-001: Verify Dashboard Authentication & Landing URL","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Switch between various date ranges and product filters on the dashboard and verify table stability without errors.","6448","TC-RENEWAL-002: Verify Dynamic Date & Product Filter Switching on Renewal Dashboard","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Verify that entering an incomplete/short customer mobile number (<10 digits) blocks submission.","910","TC-SUPPORT-NEG-02: Verify Invalid/Short Customer Mobile Rejection","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Pick today's date from calendar popover and click Save Details.","2711","TC-DEMO-005: Select Demo Schedule Date in DatePicker and Save Details","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
