"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reports & Analytics","0","Overall Summary Report","4","0","Metric Section Validation","0"
"0","Authentication & Access","0","CRM Email + OTP Login Flow","1","0","Negative Testing - OTP Screen Navigation Cancellation","0"
"2","Payments & Billing","1","Generate Payment Link & Prospect Creation Flow","0","0","Product & Pricing","0"
"1","Payments & Billing","1","Generate Payment Link & Prospect Creation Flow","0","0","Listing Verification","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","2","0","Listing Search","0"
"0","Lead Management","0","Create Lead Flow & Listing Verification","1","0","Lead Submission","0"
"0","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","1","0","Automated State Transition & Fallback","0"
"0","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","1","0","Full E2E Conversion Pipeline","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Follow-Up Initiation","0"
"0","Lead Management","0","Create Lead Flow & Listing Verification","1","0","Create Lead Modal","0"
"0","Support & Service Management","0","Support Ticket Management","2","0","Form Filling","0"
"0","Authentication & Access","0","CRM Email + OTP Login Flow","1","0","Full OTP Login & Logout Workflow","0"
"0","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","3","0","Negative Validations","0"
"0","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","1","0","Dashboard Landing & State","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Renewal Dashboard Filters","0"
"0","Support & Service Management","0","Support Ticket Management","1","0","Negative Validation - Invalid Mobile Length","0"
"0","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","1","0","Demo Scheduling Calendar & Save","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Listing Status Tabs","0"
"0","Reports & Analytics","0","Report Export & Download Management","1","0","File Download & Verification","0"
"0","Lead Management","0","Create Lead Flow & Listing Verification","3","0","Negative Validations","0"
"0","Payments & Billing","2","Generate Payment Link & Prospect Creation Flow","0","0","Payment Link Actions","0"
"0","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","1","0","Database Pre-cleanup","0"
"0","Reports & Analytics","0","Overall Summary Report","1","0","System Health & Error Validation","0"
"0","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","3","0","Prospect Form","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Renewal Dashboard Health Check","0"
"0","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","1","0","Enquiry Sanitization","0"
"0","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","2","0","Database State Verification","0"
"0","Authentication & Access","0","CRM Email + OTP Login Flow","1","0","Negative Testing - Invalid OTP Submission","0"
"0","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","4","0","Negative Validations","0"
"0","Reports & Analytics","0","Report Export & Download Management","2","0","Filter Configuration","0"
