"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that submitting an empty Add Support form prevents ticket creation.","30014","TC-SUPPORT-NEG-01: Verify Blank Form Submission Is Blocked","tests.latest_tests","2026-08-28","broken","2026-08-28","TestSupportTicketFlow","test_support_ticket_flow","",""
"Find the 'Overall Summary' row in the reports listing and click its 'View Report' button.","0","TC-REP-002: Locate 'Overall Summary' Row and Open 'View Report'","tests.latest_tests","2026-08-28","broken","2026-08-28","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify that dismissing the prospect modal discards entered draft data.","30015","TC-PAYMENT-NEG-03: Verify Discarding Prospect Modal Without Saving","tests.latest_tests","2026-08-28","broken","2026-08-28","TestPaymentLinkFlow","test_payment_link_flow","",""
"Verify that dismissing the modal discards entered details without persisting a ticket.","30019","TC-SUPPORT-NEG-03: Verify Modal Dismissal Without Saving Record","tests.latest_tests","2026-08-28","broken","2026-08-28","TestSupportTicketFlow","test_support_ticket_flow","",""
"Reset existing lead records for target mobile in PostgreSQL database.","1","TC-DEMO-001: Execute Database Pre-cleanup for Target Mobile Number","tests.latest_tests","2026-08-28","broken","2026-08-28","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Verify that the newly inserted enquiry appears in PostgreSQL with initial 'pending' status.","1","TC-ENQ-002: Verify Created Enquiry Exists in DB with Initial State","tests.latest_tests","2026-08-28","broken","2026-08-28","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify that the primary Overall Summary data table loads and is visible.","0","TC-REP-004: Verify Overall Summary Main Data Table Rendering","tests.latest_tests","2026-08-28","broken","2026-08-28","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify that authenticated user lands on /dashboard without redirection to login.","0","TC-DASH-001: Verify Dashboard Authentication & Landing URL","tests.latest_tests","2026-08-28","broken","2026-08-28","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Fill valid target mobile, contact person, and remarks, then submit.","0","TC-DEMO-002: Open Create Lead Modal and Submit Valid Details","tests.latest_tests","2026-08-28","broken","2026-08-28","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Extract numeric Total Lead count from the KPI metrics table and assert it is a valid integer.","0","TC-DASH-004: Extract and Validate Total Lead Count from KPI Table","tests.latest_tests","2026-08-28","broken","2026-08-28","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
