"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click 'Save and Continue' on empty prospect form and verify submission is blocked.","995","TC-PAYMENT-NEG-01: Verify Blank Form Submission Is Blocked","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Assert prospect row in listing table with Customer, Product, Amount, and Status Payment Pending.","63","TC-PAYMENT-015: Verify Created Payment Record in Listing Grid","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Confirm TDS deduction modal and assert TDS deduction and final Grand Total.","1445","TC-PAYMENT-011: Confirm TDS Deduction & Validate TDS and Final Total","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Fill valid Mobile (9811511401), unique dynamic Email, and Name (Test Rohit).","1154","TC-PAYMENT-004: Fill Customer Identity Details (Mobile, Dynamic Email, Customer Name)","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Select duration and assert plans grid is displayed.","815","TC-PAYMENT-007: Activate Plan Duration & Verify Plans Grid Rendering","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click 'Send Payment Link' button and assert 'Payment Link Generated' modal appears.","2421","TC-PAYMENT-012: Trigger 'Send Payment Link' and Verify Generated Dialog","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click Deduct TDS switch and assert confirmation modal appears.","1579","TC-PAYMENT-010: Trigger 'Deduct TDS' Toggle & Verify 'Confirm TDS Deduction' Modal","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click '+' button on selected plan to increment quantity to 1.","2499","TC-PAYMENT-008: Add Quantity 1 to Target Plan","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Enter 5-digit incomplete mobile number and verify submission is blocked.","1379","TC-PAYMENT-NEG-02: Verify Incomplete Mobile Number (<10 Digits) Rejection","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click 'Save and Continue' and assert 'Payment prospect created successfully' toast.","2489","TC-PAYMENT-006: Submit Prospect Form & Verify Success Toast Notification","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click 'New' button under Desktop tab and verify Prospect/Invoice Details form opens.","1602","TC-PAYMENT-003: Open 'New' Prospect Creation Form Under Desktop Tab","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Verify URL is /payments/generate and 'Desktop' tab is active.","13","TC-PAYMENT-002: Verify Navigation to 'Generate Payment Link' Screen","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Reset existing payment prospect records in PostgreSQL for mobile 9811511401 and rohitsolanki1170@gmail.com.","215","TC-PAYMENT-001: Execute Database Pre-cleanup for Target Mobile & Email","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click 'Copy' button and assert clipboard confirmation.","974","TC-PAYMENT-013: Copy Generated Payment Link to Clipboard & Verify Confirmation","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Assert Taxable Amount, GST (18%), and initial Grand Total before TDS deduction.","3765","TC-PAYMENT-009: Verify Initial Order Summary Pricing","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Enter invalid email format (missing domain) and verify submission is blocked.","1410","TC-PAYMENT-NEG-03: Verify Invalid Email Format Rejection","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click row to open Order Summary modal and assert pricing details and customer info.","1707","TC-PAYMENT-016: Open and Verify Row-Level 'Order Summary' Modal Details & Pricing","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click 'Back to listing' button and assert return to /payments/listing.","509","TC-PAYMENT-014: Navigate 'Back to listing' & Assert Payments Listing Screen","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
"Fill Address and Pincode 781037; verify City (Kamrup) and State (Assam) auto-fill.","2395","TC-PAYMENT-005: Fill Billing Address & Verify Pincode Auto-Populates City & State","tests.latest_tests","2026-09-15","passed","2026-09-15","TestPaymentLinkFlow","test_payment_link_flow","",""
