"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that authenticated user lands on /dashboard without redirection to login.","7","TC-DASH-001: Verify Dashboard Authentication & Landing URL","tests.latest_tests","2026-09-15","passed","2026-09-15","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Click 'Update' button and assert success toast.","384","TC-SUPPORT-005: Submit Support Ticket & Verify Toast Notification","tests.latest_tests","2026-09-15","passed","2026-09-15","TestSupportTicketFlow","test_support_ticket_flow","",""
"Verifies user can cancel OTP entry and return to the Login screen:
1. Advance to OTP screen
2. Click 'Back to Login' button
3. Verify user is returned to the initial Login page with heading and email input visible","2791","TC-AUTH-NEG-06: Verify Back to Login Button from OTP Screen Returns to Email Entry","tests.latest_tests","2026-09-15","passed","2026-09-15","TestCrmLoginFlow","test_crm_login","",""
"Search by Subscription ID in the listing search bar under 'All' tab and assert filtered record appears.","6228","TC-RENEWAL-014: Search Renewal Lead Listing by Copied Subscription ID","tests.latest_tests","2026-09-15","passed","2026-09-15","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Assert that the Dashboard KPI Lead count strictly equals the Leads Listing 'All' tab count.","3","TC-DASH-007: Verify Data Synchronization Between Dashboard Count and Listing Count","tests.latest_tests","2026-09-15","passed","2026-09-15","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Select 'Follow Up - Customer', enter dynamic remarks, save details, and assert success toast.","7459","TC-RENEWAL-010: Configure Call Disposition, Dynamic Remarks & Save Details","tests.latest_tests","2026-09-15","passed","2026-09-15","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Enquiry creation accepts empty/missing mobile with 200, and sanitization API fails validation.","481","TC-ENQ-007: [Negative] Create Enquiry with Missing Mobile and Assert Failure at Sanitization API","tests.latest_tests","2026-09-15","passed","2026-09-15","TestEnquiryToLead","test_enquiry_to_lead","",""
"Click the Excel icon button to trigger generation and close dialog.","10017","TC-DOWNLOAD-005: Trigger Excel Report Generation from Advance Filters Modal","tests.latest_tests","2026-09-15","failed","2026-09-15","TestReportDownload","test_report_download","",""
"Verify submitting form without mobile number triggers validation.","1730","TC-LEAD-NEG-001: Validate Form Submission Blocked on Empty Mobile","tests.latest_tests","2026-09-15","passed","2026-09-15","TestCreateLeadFlow","test_create_lead_flow","",""
"Query PostgreSQL to verify that enquiry is processed and lead state is updated.","18","TC-ENQ-006: Verify Final Lead Record State in Database","tests.latest_tests","2026-09-15","passed","2026-09-15","TestEnquiryToLead","test_enquiry_to_lead","",""
