"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Open Add Support modal, enter problem/solution/customer details, select disposition/status, update, and verify.","30011","TC-SUPPORT-002: Create Support Ticket, Submit, and Verify in History Grid & Dashboard","tests.latest_tests","2026-08-24","broken","2026-08-24","TestSupportTicketFlow","test_support_ticket_flow","",""
"Apply dropdown selections and date range filter inside Advance Filters dialog.","30019","TC-DOWNLOAD-002: Verify Advance Filters selection (Assigned To, Partner Name, Generated By, Date Range)","tests.latest_tests","2026-08-24","broken","2026-08-24","TestReportDownload","test_report_download","",""
"Extract Total lead count from Dashboard KPI table, navigate to Lead Listing, and verify counts match exactly.","30018","TC-DASH-003: Verify Dashboard KPI Lead Count matches Lead Listing Count","tests.latest_tests","2026-08-24","broken","2026-08-24","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Click 'Download Report' icon on Overall Summary row and verify Advance Filters dialog opens.","30016","TC-DOWNLOAD-001: Verify Download Report dialog opens for 'Overall Summary View Report'","tests.latest_tests","2026-08-24","broken","2026-08-24","TestReportDownload","test_report_download","",""
"Open '+ Create Lead' modal dialog and fill Mobile, Contact Person, and Remarks.","30020","TC-LEAD-002: Verify Create Lead Dialog Form Inputs","tests.latest_tests","2026-08-24","broken","2026-08-24","TestCreateLeadFlow","test_create_lead_flow","",""
"Create lead, set stage to 'Demo Scheduled', disposition to 'Follow Up - Customer', pick today's date, and verify DB.","2","TC-DEMO-002: Create Lead, Schedule Demo with Disposition & Date, and Verify in DB","tests.latest_tests","2026-08-24","broken","2026-08-24","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Trigger Excel generation, poll until status is 'Completed' and format is 'XLSX', then download and verify file.","30018","TC-DOWNLOAD-003: Verify Excel Report Generation, Completed Status, and File Download","tests.latest_tests","2026-08-24","broken","2026-08-24","TestReportDownload","test_report_download","",""
"Navigate to Support module and apply 'Last Month Onwards' date filter.","30015","TC-SUPPORT-001: Verify Support Module navigation and Date Filter ('Last Month Onwards')","tests.latest_tests","2026-08-24","broken","2026-08-24","TestSupportTicketFlow","test_support_ticket_flow","",""
"Sanitize enquiry via API, update state in PostgreSQL, and execute /auth/v1/enquiry/enquiryToLead.","2","TC-ENQ-002: Sanitize Enquiry, update state, and trigger Enquiry-To-Lead conversion","tests.latest_tests","2026-08-24","broken","2026-08-24","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify that logging into CRM and selecting 'Busy Pvt. Ltd.' displays 'Tasks for Today' on Dashboard.","30016","TC-DASH-001: Verify Dashboard Load State and Navigation to Busy Pvt. Ltd.","tests.latest_tests","2026-08-24","broken","2026-08-24","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Verify that the Report menu item in main navigation is visible and clickable.","30015","TC-REPORT-001: Verify Report Module Navigation and Menu Visibility","tests.latest_tests","2026-08-24","broken","2026-08-24","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Submit Create Lead modal, close details dialog, and search for the new lead in listing grid.","30017","TC-LEAD-003: Create Lead and Search Created Lead in Listing Grid","tests.latest_tests","2026-08-24","broken","2026-08-24","TestCreateLeadFlow","test_create_lead_flow","",""
"Perform database pre-cleanup and call /API/enquiry/create/ with configured headers.","2","TC-ENQ-001: DB Pre-cleanup and Create Enquiry via REST API","tests.latest_tests","2026-08-24","broken","2026-08-24","TestEnquiryToLead","test_enquiry_to_lead","",""
"Locate Dashboard KPI metrics table, verify visibility and extract structure for test reporting.","30018","TC-DASH-002: Verify KPI Metrics Table Visibility and DOM Extraction","tests.latest_tests","2026-08-24","broken","2026-08-24","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Reset existing rows in database for test mobile '9773689711' to ensure clean test state.","1","TC-DEMO-001: Verify Database Pre-cleanup for test mobile number '9773689711'","tests.latest_tests","2026-08-24","broken","2026-08-24","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Navigate to Lead module and verify page URL and '+ Create Lead' button is visible.","30018","TC-LEAD-001: Verify Lead Module Navigation and Create Lead Button Visibility","tests.latest_tests","2026-08-24","broken","2026-08-24","TestCreateLeadFlow","test_create_lead_flow","",""
"Locate 'Overall Summary View Report', click 'View Report', verify URL, no errors, table visibility, and sections.","30019","TC-REPORT-002: Open 'Overall Summary View Report' and verify Table, Sections, and Data Integrity","tests.latest_tests","2026-08-24","broken","2026-08-24","TestOverallSummaryReportFlow","test_overall_summary_report","",""
