"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Renewal Dashboard Filters","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Discard Flow","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Follow-Up Submission","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Search Validation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Listing Status Tabs","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Follow-Up Initiation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","2","0","Listing Search","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Query Sanitization","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","History Verification","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Listing Pagination","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Renewal Dashboard Health Check","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Negative Testing - Follow-Up Validation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Renewal Lead Listing","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","History Modal Navigation","0"
"0","Renewal Management","0","Renewal Dashboard, Lead Follow-Up & History Flow","1","0","Listing Column Sorting","0"
