"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Single-session verification of the complete Support Ticket workflow:
1. Authenticate and navigate to Support module
2. Apply 'Last Month Onwards' date filter
3. Open Add Support modal and fill ticket details (Problem, Solution, Customer details)
4. Select Disposition, Sub Disposition, and Status
5. Submit ticket and verify success toast notification
6. Verify record in Support History Grid and navigate to Support Dashboard","30022","TC-SUPPORT-E2E: Complete Support Module Navigation, Date Filter, Ticket Creation & Dashboard Flow","tests.latest_tests","2026-08-27","broken","2026-08-27","TestSupportTicketFlow","test_support_ticket_flow","",""
"Verify closing the Create Lead modal does not create a lead and restores the listing view.","30014","TC-LEAD-NEG-003: Verify Modal Dismissal Cancels Lead Creation","tests.latest_tests","2026-08-27","broken","2026-08-27","TestCreateLeadFlow","test_create_lead_flow","",""
"Verify that submitting Create Lead form without mobile number triggers validation.","30010","TC-LEAD-NEG-001: Validate Form Submission with Empty Mobile Number","tests.latest_tests","2026-08-27","broken","2026-08-27","TestCreateLeadFlow","test_create_lead_flow","",""
"Single-session verification of Dashboard KPI count synchronization:
1. Authenticate and navigate to Busy Pvt. Ltd. Dashboard
2. Verify 'Tasks for Today' section visibility
3. Locate and extract Dashboard KPI metrics table structure
4. Extract Total Lead count from KPI table
5. Click Lead count to navigate to Lead listing and verify count match","30019","TC-DASH-E2E: Complete Dashboard Load State, KPI Metrics Table & Count Synchronization Flow","tests.latest_tests","2026-08-27","broken","2026-08-27","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Single-session verification of the Demo Schedule flow:
1. Perform database pre-cleanup for mobile '9773689711'
2. Authenticate and navigate to Lead module
3. Open Create Lead and fill details (Mobile, Contact, Remarks)
4. Update Stage to 'Demo Scheduled' and set Call Disposition to 'Follow Up - Customer'
5. Select Today's Date in DatePicker & save details
6. Verify record persistence in PostgreSQL Database","8","TC-DEMO-E2E: Complete DB Pre-cleanup, Create Lead, Schedule Demo with Disposition & Date, and DB Persistence Flow","tests.latest_tests","2026-08-27","broken","2026-08-27","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Perform database pre-cleanup and call /API/enquiry/create/ with configured headers.","2","TC-ENQ-001: DB Pre-cleanup and Create Enquiry via REST API","tests.latest_tests","2026-08-27","broken","2026-08-27","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify that entering an incomplete mobile number (<10 digits) prevents submission.","30016","TC-LEAD-NEG-002: Validate Mobile Number Field with Short Invalid Length (< 10 Digits)","tests.latest_tests","2026-08-27","broken","2026-08-27","TestCreateLeadFlow","test_create_lead_flow","",""
"Single-session verification of the Report Download flow:
1. Authenticate and navigate to Report listing
2. Click 'Download Report' on Overall Summary row and verify Advance Filters dialog
3. Configure filters: Assigned To, Partner Name, Generated By, and Date Range
4. Trigger Excel generation and poll until status is 'Completed' with 'XLSX'
5. Download Excel file to disk and verify file validity and size","30018","TC-DOWNLOAD-E2E: Complete Report Download Dialog, Advance Filters, Excel Generation & Verification Flow","tests.latest_tests","2026-08-27","broken","2026-08-27","TestReportDownload","test_report_download","",""
"Verify successful lead creation with dynamic valid mobile number and verify in listing.","30020","TC-LEAD-E2E: Complete Lead Navigation, Modal Input, Lead Creation & Search Flow","tests.latest_tests","2026-08-27","broken","2026-08-27","TestCreateLeadFlow","test_create_lead_flow","",""
"Sequential verification of the Overall Summary Report workflow:
1. Authenticate and navigate to Report listing page
2. Locate Overall Summary row and click 'View Report'
3. Verify report URL and absence of error states
4. Verify report data table, KPIs, and metric sections","30018","TC-REPORT-E2E: Complete Navigation, View Report Loading & KPI Verification","tests.latest_tests","2026-08-27","broken","2026-08-27","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Sanitize enquiry via API, update state in PostgreSQL, and execute /auth/v1/enquiry/enquiryToLead.","1","TC-ENQ-002: Sanitize Enquiry, update state, and trigger Enquiry-To-Lead conversion","tests.latest_tests","2026-08-27","broken","2026-08-27","TestEnquiryToLead","test_enquiry_to_lead","",""
