"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Assert that no error alerts, crashes, or 'Something went wrong' states exist on the report page.","10","TC-REP-003: Verify Absence of System Errors, 500 Banners & Broken State","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify that user can navigate to the Report listing module and URL reflects /report.","507","TC-REP-001: Verify Successful Navigation to Report Module & Page URL","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Single-session verification of the complete CRM login flow:
1. Verify initial Login page UI elements (Heading, Email Input, Disabled Continue Button, Google option)
2. Verify entering valid email enables Continue button
3. Click Continue and verify OTP verification screen is displayed
4. Submit valid OTP, verify Company Listing screen, and log out cleanly","8338","TC-AUTH-E2E: Complete CRM Email + OTP Login, Company Listing, and Logout Flow","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCrmLoginFlow","test_crm_login","",""
"Verifies that client-side email format validation prevents submission for malformed email syntax.","1883","TC-AUTH-NEG-01: Verify Continue Button Remains Disabled for Malformed Email Format","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCrmLoginFlow","test_crm_login","",""
"Verifies that the Clear Email (X) button correctly clears the input and resets Continue button state:
1. Enter a valid email
2. Verify Continue button becomes enabled and Clear button is visible
3. Click the Clear button
4. Verify email input is cleared and Continue button is disabled again","2009","TC-AUTH-NEG-05: Verify Email Clear (X) Button Resets Field and Disables Continue","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCrmLoginFlow","test_crm_login","",""
"Fill valid problem description and solution provided textboxes.","899","TC-SUPPORT-001: Fill Problem and Solution Descriptions","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Verify that the user navigates to the Report module and reports listing table is visible.","507","TC-DOWNLOAD-001: Navigate to Report Module and Verify Listing View","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Select 'CRM SUPER ADMIN' for Assigned To and '3M Infocare' for Partner Name.","7087","TC-DOWNLOAD-003: Configure 'Assigned To' & 'Partner Name' Filters","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Find the 'Overall Summary' row in the reports listing and click its 'View Report' button.","480","TC-REP-002: Locate 'Overall Summary' Row and Open 'View Report'","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Poll the reports listing row until status becomes 'Completed' and format shows 'XLSX'.","9582","TC-DOWNLOAD-006: Poll and Verify Report Generation Status ('Completed' & 'XLSX')","tests.latest_tests","2026-09-05","passed","2026-09-05","TestReportDownload","test_report_download","",""
"Select 'Demo Scheduled' from the Stage dropdown on Lead Details dialog.","1608","TC-DEMO-003: Update Lead Stage to 'Demo Scheduled'","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Verify that submitting an empty Add Support form triggers mandatory validation and prevents submission.","504","TC-SUPPORT-NEG-01: Verify Blank Form Submission Is Blocked","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Call /auth/v1/enquiry/sanitize/v2/ to trigger sanitization on the enquiry.","2075","TC-ENQ-003: Trigger Enquiry Sanitization API","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify URL is /payments/generate and 'Desktop' tab is active.","11","TC-PAYMENT-002: Verify Navigation to 'Generate Payment Link' Screen","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Navigate to Renewal Dashboard (/dashboard/renewal), apply 'This Month' and 'Desktop' filters, verify key KPI tables and metrics are rendered, and scan for any red error messages or anomalies.","5248","TC-RENEWAL-001: Verify Renewal Dashboard UI, Filters, Metrics & Error Absence","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Attempt to submit Follow-Up modal without selecting Call Disposition and assert submission is prevented.","137","TC-RENEWAL-008: Verify Mandatory Validation when Saving Follow-Up without Call Disposition","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Verify that the 'BIPL Generated' data metric section is present in the table.","7","TC-REP-006: Validate 'BIPL Generated' Metric Column & Section Presence","tests.latest_tests","2026-09-05","passed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
