"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-LEAD-002: Open Create Lead Modal & Verify Input Fields Rendered","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"Complete flow: DB Cleanup -> Create Enquiry -> Sanitize -> Auto Poll / Fallback DB Update -> EnquiryToLead -> DB Verify.","1","TC-ENQ-011: Complete End-to-End Enquiry-to-Lead Pipeline with Automated State Polling & Fallback","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Extract numeric Total Lead count from the KPI metrics table and assert it is a valid integer.","0","TC-DASH-004: Extract and Validate Total Lead Count from KPI Table","tests.latest_tests","2026-08-30","broken","2026-08-30","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"","0","TC-LEAD-004: Submit Create Lead Form and Verify 'Lead Details' Confirmation","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"Assert that the Dashboard KPI Lead count strictly equals the Leads Listing 'All' tab count.","0","TC-DASH-007: Verify Data Synchronization Between Dashboard Count and Listing Count","tests.latest_tests","2026-08-30","broken","2026-08-30","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Verify entering incomplete mobile number (<10 digits) prevents submission.","0","TC-LEAD-NEG-002: Validate Mobile Number Field with Short Invalid Length (< 10 Digits)","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"Perform database pre-cleanup and call /API/enquiry/create/ with configured payload & headers.","1","TC-ENQ-001: DB Pre-cleanup and Create Enquiry via REST API","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"","0","TC-LEAD-003: Fill Valid Dynamic Mobile, Contact Person & Remarks","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"","0","TC-LEAD-001: Verify Navigation to Lead Module and Listing Table Load","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"Trigger sanitization on a non-existent mobile number and verify handling.","30013","TC-ENQ-009: [Negative] Sanitize API with Non-Existent Dummy Mobile Number","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify that the 'Tasks for Today' header / section is rendered and visible on dashboard.","0","TC-DASH-002: Verify 'Tasks for Today' Dashboard Section Visibility","tests.latest_tests","2026-08-30","broken","2026-08-30","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Locate Dashboard KPI metrics table, assert visibility, and capture DOM structure.","0","TC-DASH-003: Verify Dashboard KPI Metrics Table Rendering & Structure","tests.latest_tests","2026-08-30","broken","2026-08-30","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"","0","TC-LEAD-005: Close Details Dialog and Search Created Lead in Listing Table","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"Verify closing the Create Lead modal does not create a lead and restores the listing view.","0","TC-LEAD-NEG-003: Verify Modal Dismissal Cancels Lead Creation","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"Verify that the newly inserted enquiry appears in PostgreSQL with initial 'pending' status.","0","TC-ENQ-002: Verify Created Enquiry Exists in DB with Initial State","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Query PostgreSQL to verify that enquiry is processed and lead state is updated.","1","TC-ENQ-006: Verify Final Lead Record State in Database","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify that authenticated user lands on /dashboard without redirection to login.","0","TC-DASH-001: Verify Dashboard Authentication & Landing URL","tests.latest_tests","2026-08-30","broken","2026-08-30","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Send enquiry create request without client/secret headers and assert unauthorized.","30014","TC-ENQ-008: [Negative] Create Enquiry with Missing / Invalid Authorization Headers","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Execute /auth/v1/enquiry/enquiryToLead endpoint after ensuring state is ready_to_convert.","1","TC-ENQ-005: Trigger Enquiry-to-Lead Conversion API","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Verify submitting form without mobile number triggers validation.","0","TC-LEAD-NEG-001: Validate Form Submission Blocked on Empty Mobile","tests.latest_tests","2026-08-30","broken","2026-08-30","TestCreateLeadFlow","test_create_lead_flow","",""
"Enquiry creation accepts empty/missing mobile with 200, and sanitization API fails validation.","30013","TC-ENQ-007: [Negative] Create Enquiry with Missing Mobile and Assert Failure at Sanitization API","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Click the Total Lead count cell, verify navigation to /lead/listing, and await loader completion.","0","TC-DASH-005: Verify Interactive Navigation from KPI Cell to Leads Listing","tests.latest_tests","2026-08-30","broken","2026-08-30","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Call /auth/v1/enquiry/sanitize/v2/ to trigger sanitization on the enquiry.","30013","TC-ENQ-003: Trigger Enquiry Sanitization API","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
"Check/poll DB for auto-transition to 'ready_to_convert'. If timeout occurs, automatically apply DB fallback.","0","TC-ENQ-004: Ensure DB State is 'ready_to_convert' (Auto-poll with Fallback)","tests.latest_tests","2026-08-30","broken","2026-08-30","TestEnquiryToLead","test_enquiry_to_lead","",""
