"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Reset existing lead records for target mobile in PostgreSQL database.","47","TC-DEMO-001: Execute Database Pre-cleanup for Target Mobile Number","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Verify that the 'New Leads' data metric section is present in the table.","15014","TC-REP-005: Validate 'New Leads' Metric Column & Section Presence","tests.latest_tests","2026-09-05","failed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Pick today's date from calendar popover and click Save Details.","2511","TC-DEMO-005: Select Demo Schedule Date in DatePicker and Save Details","tests.latest_tests","2026-09-05","passed","2026-09-05","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"","1326","TC-LEAD-003: Fill Valid Dynamic Mobile, Contact Person & Remarks","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Click 'New' button under Desktop tab and verify Prospect/Invoice Details form opens.","1792","TC-PAYMENT-003: Open 'New' Prospect Creation Form Under Desktop Tab","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Verify that 'KPI (Overall Any Duration Conversion)' is present in the table.","15008","TC-REP-007: Validate 'KPI (Overall Any Duration Conversion)' Metric Section","tests.latest_tests","2026-09-05","failed","2026-09-05","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify closing the Create Lead modal does not create a lead and restores the listing view.","1943","TC-LEAD-NEG-003: Verify Modal Dismissal Cancels Lead Creation","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Verify pagination selector exists, switch rows per page or inspect page controls, and ensure table stability.","119","TC-RENEWAL-005: Verify Listing Rows Per Page and Pagination Controls","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Complete flow: DB Cleanup -> Create Enquiry -> Sanitize -> Auto Poll / Fallback DB Update -> EnquiryToLead -> DB Verify.","14367","TC-ENQ-011: Complete End-to-End Enquiry-to-Lead Pipeline with Automated State Polling & Fallback","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Select configured status from the Status dropdown.","904","TC-SUPPORT-004: Set Support Ticket Status","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Click 'Save and Continue' and assert 'Payment prospect created successfully' toast.","35479","TC-PAYMENT-006: Submit Prospect Form & Verify Success Toast Notification","tests.latest_tests","2026-09-05","failed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click the Total Lead count cell, verify navigation to /lead/listing, and await loader completion.","522","TC-DASH-005: Verify Interactive Navigation from KPI Cell to Leads Listing","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Click row to open Order Summary modal and assert pricing details and customer info.","1776","TC-PAYMENT-016: Open and Verify Row-Level 'Order Summary' Modal Details & Pricing","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"","4579","TC-LEAD-005: Close Details Dialog and Search Created Lead in Listing Table","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Fill valid Mobile (9811511401), unique dynamic Email, and Name (Test Rohit).","1344","TC-PAYMENT-004: Fill Customer Identity Details (Mobile, Dynamic Email, Customer Name)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Fill customer name and valid 10-digit mobile.","895","TC-SUPPORT-002: Fill Customer Name and Valid 10-Digit Mobile","tests.latest_tests","2026-09-05","passed","2026-09-05","TestSupportTicketFlow","test_support_ticket_flow","",""
"Verify URL is /payments/generate and 'Desktop' tab is active.","14","TC-PAYMENT-002: Verify Navigation to 'Generate Payment Link' Screen","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Verify submitting form without mobile number triggers validation.","1988","TC-LEAD-NEG-001: Validate Form Submission Blocked on Empty Mobile","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Verify entering incomplete mobile number (<10 digits) prevents submission.","2036","TC-LEAD-NEG-002: Validate Mobile Number Field with Short Invalid Length (< 10 Digits)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestCreateLeadFlow","test_create_lead_flow","",""
"Click 'Save and Continue' on empty prospect form and verify submission is blocked.","1104","TC-PAYMENT-NEG-01: Verify Blank Form Submission Is Blocked","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Trigger sanitization on a non-existent mobile number and verify handling.","33","TC-ENQ-009: [Negative] Sanitize API with Non-Existent Dummy Mobile Number","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Select 'Follow Up - Customer', enter dynamic remarks, save details, and assert success toast.","3093","TC-RENEWAL-010: Configure Call Disposition, Dynamic Remarks & Save Details","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Assert that the Dashboard KPI Lead count strictly equals the Leads Listing 'All' tab count.","2","TC-DASH-007: Verify Data Synchronization Between Dashboard Count and Listing Count","tests.latest_tests","2026-09-05","passed","2026-09-05","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Check/poll DB for auto-transition to 'ready_to_convert'. If timeout occurs, automatically apply DB fallback.","10284","TC-ENQ-004: Ensure DB State is 'ready_to_convert' (Auto-poll with Fallback)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestEnquiryToLead","test_enquiry_to_lead","",""
"Switch across listing tabs (Overdue, Upcoming, Due, All) and verify table updates cleanly without error.","1358","TC-RENEWAL-004: Verify Status Segment Tab Switching on Renewal Lead Listing","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Navigate to Renewal Lead Listing (/lead/renewal/listing) and verify header columns & table load.","5730","TC-RENEWAL-003: Navigate to Renewal Lead Listing & Validate Columns","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Confirm TDS deduction modal and assert TDS deduction (-Rs. 1,100) and final Grand Total (Rs. 11,880).","1501","TC-PAYMENT-011: Confirm TDS Deduction & Validate 10% TDS (-Rs. 1,100) and Final Total (Rs. 11,880)","tests.latest_tests","2026-09-05","passed","2026-09-05","TestPaymentLinkFlow","test_payment_link_flow","",""
"Search by Subscription ID in the listing search bar under 'All' tab and assert filtered record appears.","7148","TC-RENEWAL-014: Search Renewal Lead Listing by Copied Subscription ID","tests.latest_tests","2026-09-05","passed","2026-09-05","TestRenewalLeadFlow","test_renewal_lead_flow","",""
