"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click 'Save and Continue' and assert 'Payment prospect created successfully' toast.","0","TC-PAYMENT-005: Submit Prospect Form & Verify Success Toast Notification","tests.latest_tests","2026-08-28","broken","2026-08-28","TestPaymentLinkFlow","test_payment_link_flow","",""
"Query PostgreSQL database to assert lead record is stored for target mobile.","0","TC-DEMO-006: Verify Record Persistence in PostgreSQL Database","tests.latest_tests","2026-08-28","broken","2026-08-28","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Verify URL is /payments/generate and 'Desktop' tab is active.","0","TC-PAYMENT-002: Verify Navigation to 'Generate Payment Link' Screen","tests.latest_tests","2026-08-28","broken","2026-08-28","TestPaymentLinkFlow","test_payment_link_flow","",""
"Verify that 'KPI (Overall Any Duration Conversion)' is present in the table.","0","TC-REP-007: Validate 'KPI (Overall Any Duration Conversion)' Metric Section","tests.latest_tests","2026-08-28","broken","2026-08-28","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Trigger /enquiryToLead when enquiry is in 'pending' state without waiting for sanitization.","2","TC-ENQ-010: [Negative] Trigger Conversion when State is 'pending'","tests.latest_tests","2026-08-28","broken","2026-08-28","TestEnquiryToLead","test_enquiry_to_lead","",""
"Click '+' on Basic - Single User (₹11,000) and verify Base (₹11,000) and GST 18% (₹1,980).","0","TC-PAYMENT-006: Select 'Basic - Single User' Plan & Verify Order Summary Calculation","tests.latest_tests","2026-08-28","broken","2026-08-28","TestPaymentLinkFlow","test_payment_link_flow","",""
"Call /auth/v1/enquiry/sanitize/v2/ to trigger sanitization on the enquiry.","30015","TC-ENQ-003: Trigger Enquiry Sanitization API","tests.latest_tests","2026-08-28","broken","2026-08-28","TestEnquiryToLead","test_enquiry_to_lead","",""
"Extract numeric Total Lead count from the KPI metrics table and assert it is a valid integer.","0","TC-DASH-004: Extract and Validate Total Lead Count from KPI Table","tests.latest_tests","2026-08-28","broken","2026-08-28","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"Pick today's date from calendar popover and click Save Details.","0","TC-DEMO-005: Select Demo Schedule Date in DatePicker and Save Details","tests.latest_tests","2026-08-28","broken","2026-08-28","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Find the 'Overall Summary' row in the reports listing and click its 'View Report' button.","0","TC-REP-002: Locate 'Overall Summary' Row and Open 'View Report'","tests.latest_tests","2026-08-28","broken","2026-08-28","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Click 'Send Payment Link' button and assert 'Payment Link Generated' modal appears.","0","TC-PAYMENT-008: Trigger 'Send Payment Link' and Verify Generated Dialog","tests.latest_tests","2026-08-28","broken","2026-08-28","TestPaymentLinkFlow","test_payment_link_flow","",""
"Click 'Update' button and assert 'Support History Created Successfully' toast.","0","TC-SUPPORT-005: Submit Support Ticket & Verify Toast Notification","tests.latest_tests","2026-08-28","broken","2026-08-28","TestSupportTicketFlow","test_support_ticket_flow","",""
"Verify that the primary Overall Summary data table loads and is visible.","0","TC-REP-004: Verify Overall Summary Main Data Table Rendering","tests.latest_tests","2026-08-28","broken","2026-08-28","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify that the 'New Leads' data metric section is present in the table.","0","TC-REP-005: Validate 'New Leads' Metric Column & Section Presence","tests.latest_tests","2026-08-28","broken","2026-08-28","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"","0","TC-DEMO-NEG-02: [Negative] Validate Mobile Number Field with Short Invalid Length (<10 digits)","tests.latest_tests","2026-08-28","broken","2026-08-28","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"Locate Dashboard KPI metrics table, assert visibility, and capture DOM structure.","0","TC-DASH-003: Verify Dashboard KPI Metrics Table Rendering & Structure","tests.latest_tests","2026-08-28","broken","2026-08-28","TestDashboardLeadCountSync","test_dashboard_lead_count_sync","",""
"","0","TC-DEMO-NEG-03: [Negative] Verify Create Lead Modal Dismissal via Close Button","tests.latest_tests","2026-08-28","broken","2026-08-28","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
