"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Prospect Creation","0"
"1","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","0","0","Database Persistence","0"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Payments Navigation","0"
"4","Reports & Analytics","0","Overall Summary Report","0","0","Metric Section Validation","0"
"4","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Negative Validations","0"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Product & Pricing","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Enquiry Sanitization","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","KPI Data Extraction","0"
"1","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","0","0","Demo Scheduling Calendar & Save","0"
"1","Reports & Analytics","0","Overall Summary Report","0","0","Overall Summary Report Actions","0"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Payment Link Generation","0"
"1","Support & Service Management","0","Support Ticket Management","0","0","Ticket Submission","0"
"1","Reports & Analytics","0","Overall Summary Report","0","0","Data Presentation","0"
"3","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","0","0","Negative Validations","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","KPI Metrics Rendering","0"
"1","Support & Service Management","0","Support Ticket Management","0","0","Status Configuration","0"
"1","Support & Service Management","0","Support Ticket Management","0","0","Negative Validation - Blank Submission","0"
"3","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Negative Validations","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Lead Listing Data Extraction","0"
"1","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","0","0","Database Pre-cleanup","0"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Listing Verification","0"
"1","Support & Service Management","0","Support Ticket Management","0","0","Dashboard Navigation","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Full E2E Conversion Pipeline","0"
"1","Reports & Analytics","0","Overall Summary Report","0","0","System Health & Error Validation","0"
"1","Reports & Analytics","0","Overall Summary Report","0","0","Report Module Navigation","0"
"1","Reports & Analytics","0","Report Export & Download Management","0","0","Advance Filters Dialog","0"
"1","Support & Service Management","0","Support Ticket Management","0","0","History Grid Verification","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Interactive Navigation","0"
"2","Support & Service Management","0","Support Ticket Management","0","0","Form Filling","0"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Payment Link Actions","0"
"2","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Prospect Form","0"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","TDS Deduction & Amount Calculation","0"
"1","Reports & Analytics","0","Report Export & Download Management","0","0","File Download & Verification","0"
"1","Support & Service Management","0","Support Ticket Management","0","0","Negative Validation - Invalid Mobile Length","0"
"1","Support & Service Management","0","Support Ticket Management","0","0","Dropdown Configuration","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Listing Search & Verification","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Automated State Transition & Fallback","0"
"1","Reports & Analytics","0","Report Export & Download Management","0","0","Report Generation","0"
"1","Payments & Billing","0","Generate Payment Link & Prospect Creation Flow","0","0","Database Pre-cleanup","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Enquiry to Lead Conversion","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Dashboard Section Rendering","0"
"2","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Database State Verification","0"
"1","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","0","0","Lead Creation","0"
"1","Reports & Analytics","0","Report Export & Download Management","0","0","Generation Status","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Create Lead Modal","0"
"1","Reports & Analytics","0","Report Export & Download Management","0","0","Report Navigation","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Lead Listing","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Lead Submission","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Data Synchronization Validation","0"
"1","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","0","0","Demo Scheduling Stage","0"
"2","Reports & Analytics","0","Report Export & Download Management","0","0","Filter Configuration","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Form Population","0"
"1","Lead Management","0","Create Lead, Demo Schedule & DB Persistence","0","0","Demo Scheduling Disposition","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Enquiry Creation API","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Dashboard Landing & State","0"
